State/UT,Year,Cause,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Total
TAMIL NADU,2006,By Fire/Self Immolation,10,184,271,191,50,706,8,720,434,164,54,1380,2086
TAMIL NADU,2006,By Fire-Arms,0,0,6,2,1,9,0,2,3,1,0,6,15
TAMIL NADU,2006,By Hanging,0,581,759,426,150,1916,0,490,429,226,52,1197,3113
TAMIL NADU,2006,By Consuming Insecticides,10,272,369,203,106,960,21,183,138,98,68,508,1468
TAMIL NADU,2006,By Consuming Other Poison,0,512,604,427,134,1677,0,380,357,181,49,967,2644
TAMIL NADU,2006,By Self Infliction of injury,0,0,3,1,0,4,0,0,0,0,0,0,4
TAMIL NADU,2006,By Jumping from (Building),0,17,38,21,1,77,0,10,7,2,0,19,96
TAMIL NADU,2006,By Jumping from (Other sites),0,18,9,12,6,45,0,5,10,7,1,23,68
TAMIL NADU,2006,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2006,By Machine,0,6,1,3,0,10,0,0,1,0,0,1,11
TAMIL NADU,2006,By Overdose of sleeping pills,0,5,10,5,3,23,0,11,6,7,3,27,50
TAMIL NADU,2006,By touching electric wires,0,20,31,11,2,64,0,3,10,1,2,16,80
TAMIL NADU,2006,By coming under running vehicles/trains,0,44,31,36,12,123,0,8,10,3,1,22,145
TAMIL NADU,2006,By Other means (please specify),0,128,322,366,190,1006,0,113,165,153,53,484,1490
TAMIL NADU,2006,Total,26,1996,2797,1935,755,7509,80,1995,1621,870,306,4872,12381
TAMIL NADU,2006,Total (Poison),10,784,976,631,240,2641,21,563,495,279,117,1475,4116
TAMIL NADU,2006,Total (Jumping),0,35,47,33,7,122,0,15,17,9,1,42,164
TAMIL NADU,2007,By Over Alcoholism,0,30,82,38,10,160,0,0,0,0,2,2,162
TAMIL NADU,2007,By Drowning,7,212,315,229,105,868,54,73,54,28,22,231,1099
TAMIL NADU,2007,By Fire/Self Immolation,12,211,314,221,58,816,8,758,456,172,57,1451,2267
TAMIL NADU,2007,By Fire-Arms,0,0,7,2,1,10,0,2,3,1,0,6,16
TAMIL NADU,2007,By Hanging,0,672,878,493,174,2217,0,515,451,238,55,1259,3476
TAMIL NADU,2007,By Consuming Insecticides,11,315,427,235,123,1111,21,193,144,108,68,534,1645
TAMIL NADU,2007,By Consuming Other Poison,0,592,699,494,155,1940,0,400,375,190,52,1017,2957
TAMIL NADU,2007,By Self Infliction of injury,0,0,4,1,0,5,0,0,0,0,0,0,5
TAMIL NADU,2007,By Jumping from (Building),0,20,44,24,1,89,0,11,7,2,0,20,109
TAMIL NADU,2007,By Jumping from (Other sites),0,21,10,14,7,52,0,6,10,7,1,24,76
TAMIL NADU,2007,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2007,By Machine,0,7,2,3,0,12,0,0,1,0,0,1,13
TAMIL NADU,2007,By Overdose of sleeping pills,0,5,12,6,4,27,0,12,6,7,3,28,55
TAMIL NADU,2007,By touching electric wires,0,23,36,13,2,74,0,3,11,1,2,17,91
TAMIL NADU,2007,By coming under running vehicles/trains,0,50,36,42,14,142,0,10,10,3,1,24,166
TAMIL NADU,2007,By Other means (please specify),0,153,371,422,218,1164,0,119,174,161,56,510,1674
TAMIL NADU,2007,Total,30,2311,3237,2237,872,8687,83,2102,1702,918,319,5124,13811
TAMIL NADU,2007,Total (Poison),11,907,1130,730,278,3056,21,593,519,298,120,1551,4607
TAMIL NADU,2007,Total (Jumping),0,41,54,38,8,141,0,17,17,9,1,44,185
TAMIL NADU,2008,By Over Alcoholism,0,33,115,43,7,198,0,0,0,0,0,0,198
TAMIL NADU,2008,By Drowning,3,249,316,235,54,857,31,85,89,42,22,269,1126
TAMIL NADU,2008,By Fire/Self Immolation,5,185,319,225,57,791,17,838,392,135,36,1418,2209
TAMIL NADU,2008,By Fire-Arms,0,0,9,3,0,12,0,0,0,0,10,10,22
TAMIL NADU,2008,By Hanging,0,785,886,525,175,2371,0,535,497,247,41,1320,3691
TAMIL NADU,2008,By Consuming Insecticides,7,335,435,327,123,1227,0,175,179,135,91,580,1807
TAMIL NADU,2008,By Consuming Other Poison,5,685,673,478,155,1996,10,405,395,197,52,1059,3055
TAMIL NADU,2008,By Self Infliction of injury,0,0,4,1,0,5,0,0,0,7,10,17,22
TAMIL NADU,2008,By Jumping from (Building),0,27,43,24,1,95,0,15,17,12,10,54,149
TAMIL NADU,2008,By Jumping from (Other sites),0,30,10,14,7,61,10,6,10,7,1,34,95
TAMIL NADU,2008,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2008,By Machine,0,7,2,3,0,12,0,0,1,10,0,11,23
TAMIL NADU,2008,By Overdose of sleeping pills,5,5,12,6,4,32,0,12,6,7,7,32,64
TAMIL NADU,2008,By touching electric wires,0,23,36,13,2,74,0,3,11,1,2,17,91
TAMIL NADU,2008,By coming under running vehicles/trains,0,50,36,42,14,142,0,32,10,3,1,46,188
TAMIL NADU,2008,By Other means (please specify),5,149,369,375,272,1170,15,109,174,161,56,515,1685
TAMIL NADU,2008,Total,30,2563,3265,2314,871,9043,83,2215,1781,964,339,5382,14425
TAMIL NADU,2008,Total (Poison),12,1020,1112,806,278,3228,10,580,574,339,153,1656,4884
TAMIL NADU,2008,Total (Jumping),0,57,53,38,8,156,10,21,27,19,11,88,244
TAMIL NADU,2009,By Over Alcoholism,2,18,82,67,11,180,0,0,19,4,0,23,203
TAMIL NADU,2009,By Drowning,58,197,183,127,72,637,27,60,69,45,17,218,855
TAMIL NADU,2009,By Fire/Self Immolation,2,199,323,115,46,685,16,607,481,224,51,1379,2064
TAMIL NADU,2009,By Fire-Arms,0,0,0,1,0,1,0,4,0,0,0,4,5
TAMIL NADU,2009,By Hanging,4,694,802,493,170,2163,22,553,388,191,91,1245,3408
TAMIL NADU,2009,By Consuming Insecticides,17,753,1027,787,357,2941,24,545,492,317,164,1542,4483
TAMIL NADU,2009,By Consuming Other Poison,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2009,By Self Infliction of injury,0,8,7,4,9,28,0,6,3,2,1,12,40
TAMIL NADU,2009,By Jumping from (Building),3,16,18,11,11,59,3,4,9,3,1,20,79
TAMIL NADU,2009,By Jumping from (Other sites),3,32,23,18,17,93,1,5,13,11,1,31,124
TAMIL NADU,2009,By Jumping off Moving Vehicles/Trains,11,46,184,76,9,326,4,16,27,9,4,60,386
TAMIL NADU,2009,By Machine,0,0,9,27,0,36,0,0,1,1,0,2,38
TAMIL NADU,2009,By Overdose of sleeping pills,1,14,7,17,24,63,2,3,14,3,7,29,92
TAMIL NADU,2009,By touching electric wires,0,44,63,29,4,140,0,6,5,8,0,19,159
TAMIL NADU,2009,By coming under running vehicles/trains,6,49,67,38,26,186,6,83,37,29,24,179,365
TAMIL NADU,2009,By Other means (please specify),29,291,379,439,274,1412,39,185,211,172,104,711,2123
TAMIL NADU,2009,Total,136,2361,3174,2249,1030,8950,144,2077,1769,1019,465,5474,14424
TAMIL NADU,2009,Total (Poison),17,761,1034,791,366,2969,24,551,495,319,165,1554,4523
TAMIL NADU,2009,Total (Jumping),6,48,41,29,28,152,4,9,22,14,2,51,203
TAMIL NADU,2010,By Over Alcoholism,0,58,114,102,14,288,0,16,1,4,0,21,309
TAMIL NADU,2010,By Drowning,73,223,200,151,70,717,35,138,112,95,42,422,1139
TAMIL NADU,2010,By Fire/Self Immolation,23,275,360,154,51,863,42,721,562,199,101,1625,2488
TAMIL NADU,2010,By Fire-Arms,0,1,1,1,0,3,0,23,7,4,0,34,37
TAMIL NADU,2010,By Hanging,33,831,1146,645,228,2883,16,673,437,259,85,1470,4353
TAMIL NADU,2010,By Consuming Insecticides,26,386,575,582,146,1715,33,352,213,110,65,773,2488
TAMIL NADU,2010,By Consuming Other Poison,17,601,762,612,313,2305,6,414,392,212,85,1109,3414
TAMIL NADU,2010,By Self Infliction of injury,0,42,33,39,17,131,0,13,7,6,6,32,163
TAMIL NADU,2010,By Jumping from (Building),5,10,16,8,14,53,1,4,9,4,1,19,72
TAMIL NADU,2010,By Jumping from (Other sites),5,29,18,5,5,62,2,15,6,7,4,34,96
TAMIL NADU,2010,By Jumping off Moving Vehicles/Trains,2,9,12,47,34,104,2,19,19,8,7,55,159
TAMIL NADU,2010,By Machine,0,4,13,4,2,23,2,9,3,1,2,17,40
TAMIL NADU,2010,By Overdose of sleeping pills,0,4,6,6,1,17,0,3,2,3,0,8,25
TAMIL NADU,2010,By touching electric wires,6,40,52,24,7,129,2,21,8,27,5,63,192
TAMIL NADU,2010,By coming under running vehicles/trains,2,51,38,25,20,136,0,10,16,6,7,39,175
TAMIL NADU,2010,By Other means (please specify),7,402,166,174,374,1123,44,73,0,84,87,288,1411
TAMIL NADU,2010,Total,199,2966,3512,2579,1296,10552,185,2504,1794,1029,497,6009,16561
TAMIL NADU,2010,Total (Poison),43,1029,1370,1233,476,4151,39,779,612,328,156,1914,6065
TAMIL NADU,2010,Total (Jumping),10,39,34,13,19,115,3,19,15,11,5,53,168
TAMIL NADU,2011,By Over Alcoholism,0,46,118,72,11,247,0,1,1,0,1,3,250
TAMIL NADU,2011,By Drowning,56,220,208,107,70,661,38,115,63,46,14,276,937
TAMIL NADU,2011,By Fire/Self Immolation,21,293,348,136,70,868,49,670,433,150,95,1397,2265
TAMIL NADU,2011,By Fire-Arms,0,1,0,0,1,2,0,1,0,0,0,1,3
TAMIL NADU,2011,By Hanging,14,723,1036,584,126,2483,33,707,457,188,77,1462,3945
TAMIL NADU,2011,By Consuming Insecticides,16,282,325,242,152,1017,11,167,152,69,40,439,1456
TAMIL NADU,2011,By Consuming Other Poison,28,614,726,613,395,2376,31,460,352,134,72,1049,3425
TAMIL NADU,2011,By Self Infliction of injury,0,0,1,2,0,3,0,11,9,8,6,34,37
TAMIL NADU,2011,By Jumping from (Building),1,3,9,1,2,16,0,1,4,1,0,6,22
TAMIL NADU,2011,By Jumping from (Other sites),1,10,11,3,2,27,1,3,1,0,0,5,32
TAMIL NADU,2011,By Jumping off Moving Vehicles/Trains,3,8,11,36,48,106,1,14,21,6,9,51,157
TAMIL NADU,2011,By Machine,0,1,1,2,0,4,1,8,4,3,2,18,22
TAMIL NADU,2011,By Overdose of sleeping pills,0,9,16,3,1,29,0,9,14,7,0,30,59
TAMIL NADU,2011,By touching electric wires,2,28,18,14,8,70,1,3,5,2,2,13,83
TAMIL NADU,2011,By coming under running vehicles/trains,0,142,414,100,24,680,0,39,49,10,4,102,782
TAMIL NADU,2011,By Other means (please specify),17,356,735,490,95,1693,30,210,261,202,92,795,2488
TAMIL NADU,2011,Total,159,2736,3977,2405,1005,10282,196,2419,1826,826,414,5681,15963
TAMIL NADU,2011,Total (Poison),44,896,1052,857,547,3396,42,638,513,211,118,1522,4918
TAMIL NADU,2011,Total (Jumping),2,13,20,4,4,43,1,4,5,1,0,11,54
TAMIL NADU,2012,By Over Alcoholism,0,17,59,45,12,133,0,0,0,1,0,1,134
TAMIL NADU,2012,By Drowning,53,149,163,129,61,555,20,91,90,64,39,304,859
TAMIL NADU,2012,By Fire/Self Immolation,12,257,339,180,80,868,39,655,445,206,136,1481,2349
TAMIL NADU,2012,By Fire-Arms,0,1,1,0,0,2,0,11,2,0,0,13,15
TAMIL NADU,2012,By Hanging,36,1179,1238,763,314,3530,50,969,469,276,99,1863,5393
TAMIL NADU,2012,By Consuming Insecticides,9,295,423,360,191,1278,15,234,184,105,45,583,1861
TAMIL NADU,2012,By Consuming Other Poison,21,597,707,699,308,2332,17,471,351,198,90,1127,3459
TAMIL NADU,2012,By Self Infliction of injury,0,0,1,2,0,3,0,2,0,0,0,2,5
TAMIL NADU,2012,By Jumping from (Building),3,10,10,8,1,32,0,4,0,0,2,6,38
TAMIL NADU,2012,By Jumping from (Other sites),3,17,23,18,7,68,1,12,14,3,4,34,102
TAMIL NADU,2012,By Jumping off Moving Vehicles/Trains,0,0,0,2,0,2,0,0,0,1,0,1,3
TAMIL NADU,2012,By Machine,0,4,8,2,0,14,0,0,0,0,0,0,14
TAMIL NADU,2012,By Overdose of sleeping pills,1,4,7,3,2,17,0,3,5,1,1,10,27
TAMIL NADU,2012,By touching electric wires,6,33,40,28,7,114,0,3,5,2,2,12,126
TAMIL NADU,2012,By coming under running vehicles/trains,3,87,75,55,28,248,1,12,20,6,7,46,294
TAMIL NADU,2012,By Other means (please specify),2,113,802,357,278,1552,39,80,192,251,134,696,2248
TAMIL NADU,2012,Total,149,2763,3896,2651,1289,10748,182,2547,1777,1114,559,6179,16927
TAMIL NADU,2012,Total (Poison),30,892,1131,1061,499,3613,32,707,535,303,135,1712,5325
TAMIL NADU,2012,Total (Jumping),6,27,33,26,8,100,1,16,14,3,6,40,140
TRIPURA,2001,By Over Alcoholism,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2001,By Drowning,4,2,3,0,0,9,1,2,2,0,1,6,15
TRIPURA,2001,By Fire/Self Immolation,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2001,By Fire-Arms,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2001,By Hanging,3,57,77,29,12,178,1,50,84,28,10,173,351
TRIPURA,2001,By Consuming Insecticides,4,18,32,19,8,81,2,19,9,3,6,39,120
TRIPURA,2001,By Consuming Other Poison,5,43,69,31,7,155,7,30,85,29,4,155,310
TRIPURA,2001,By Self Infliction of injury,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2001,By Jumping from (Building),0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2001,By Jumping from (Other sites),0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2001,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,1,0,0,1,1
TRIPURA,2001,By Machine,1,0,0,0,0,1,0,0,0,0,0,0,1
TRIPURA,2001,By Overdose of sleeping pills,0,0,8,0,0,8,0,2,0,0,0,2,10
TRIPURA,2001,By touching electric wires,0,1,0,0,0,1,0,0,0,0,0,0,1
TRIPURA,2001,By coming under running vehicles/trains,0,0,0,0,0,0,0,0,1,0,0,1,1
TRIPURA,2001,By Other means (please specify),1,10,5,8,6,30,1,5,5,2,1,14,44
TRIPURA,2001,Total,18,131,194,87,33,463,12,108,187,62,22,391,854
TRIPURA,2001,Total (Poison),9,61,101,50,15,236,9,49,94,32,10,194,430
TRIPURA,2001,Total (Jumping),0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2002,By Over Alcoholism,0,0,0,2,0,2,0,0,0,0,0,0,2
TRIPURA,2002,By Drowning,2,4,1,0,0,7,1,2,0,0,0,3,10
TRIPURA,2002,By Fire/Self Immolation,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2002,By Fire-Arms,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2002,By Hanging,2,86,72,25,10,195,1,45,28,12,4,90,285
TRIPURA,2002,By Consuming Insecticides,4,45,55,21,9,134,8,32,23,13,8,84,218
TRIPURA,2002,By Consuming Other Poison,2,16,22,18,1,59,0,35,10,1,1,47,106
TRIPURA,2002,By Self Infliction of injury,1,0,0,0,0,1,0,0,0,0,0,0,1
TRIPURA,2002,By Jumping from (Building),0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2002,By Jumping from (Other sites),0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2002,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2002,By Machine,0,1,0,0,0,1,0,0,0,0,0,0,1
TRIPURA,2002,By Overdose of sleeping pills,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2002,By touching electric wires,0,2,0,0,0,2,0,0,0,0,0,0,2
TRIPURA,2002,By coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2002,By Other means,2,19,29,36,6,92,4,13,31,12,2,62,154
TRIPURA,2002,Total,13,173,179,102,26,493,14,127,92,38,15,286,779
TRIPURA,2002,Total (Poison),7,61,77,39,10,194,8,67,33,14,9,131,325
TRIPURA,2002,Total (Jumping),0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2003,By Over Alcoholism,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2003,By Drowning,0,5,7,5,0,17,0,3,3,0,0,6,23
TRIPURA,2003,By Fire/Self Immolation,0,0,1,0,0,1,0,0,0,0,0,0,1
TRIPURA,2003,By Fire-Arms,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2003,By Hanging,0,55,72,25,0,152,0,49,61,21,0,131,283
TRIPURA,2003,By Consuming Insecticides,2,25,29,23,0,79,3,23,25,10,2,63,142
TRIPURA,2003,By Consuming Other Poison,4,81,50,23,2,160,4,37,35,20,1,97,257
TRIPURA,2003,By Self Infliction of injury,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2003,By Jumping from (Building),0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2003,By Jumping from (Other sites),0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2003,By Jumping off Moving Vehicles/Trains,0,1,0,0,0,1,0,0,0,0,0,0,1
TRIPURA,2003,By Machine,0,0,0,0,0,0,0,0,0,1,0,1,1
TRIPURA,2003,By Overdose of sleeping pills,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2003,By touching electric wires,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2003,By coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2003,By Other means (please specify),1,31,29,15,2,78,1,28,18,10,1,58,136
TRIPURA,2003,Total,7,198,188,91,4,488,8,140,142,62,4,356,844
TRIPURA,2003,Total (Poison),6,106,79,46,2,239,7,60,60,30,3,160,399
TRIPURA,2003,Total (Jumping),0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2004,By Over Alcoholism,0,0,1,0,0,1,0,0,0,0,0,0,1
TRIPURA,2004,By Drowning,0,15,15,4,0,34,3,11,11,3,0,28,62
TRIPURA,2004,By Fire/Self Immolation,0,0,0,0,0,0,0,12,0,0,0,12,12
TRIPURA,2004,By Fire-Arms,0,0,1,0,0,1,0,0,0,0,0,0,1
TRIPURA,2004,By Hanging,2,74,65,32,3,176,6,49,32,5,4,96,272
TRIPURA,2004,By Consuming Insecticides,0,31,21,22,2,76,2,25,22,0,0,49,125
TRIPURA,2004,By Consuming Other Poison,3,29,18,10,3,63,5,53,23,6,2,89,152
TRIPURA,2004,By Self Infliction of injury,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2004,By Jumping from (Building),0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2004,By Jumping from (Other sites),0,1,1,1,0,3,0,0,0,0,0,0,3
TRIPURA,2004,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2004,By Machine,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2004,By Overdose of sleeping pills,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2004,By touching electric wires,0,10,3,3,0,16,1,2,1,0,0,4,20
TRIPURA,2004,By coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2004,By Other means (please specify),0,44,9,5,5,63,5,31,16,6,1,59,122
TRIPURA,2004,Total,5,204,134,77,13,433,22,183,105,20,7,337,770
TRIPURA,2004,Total (Poison),3,60,39,32,5,139,7,78,45,6,2,138,277
TRIPURA,2004,Total (Jumping),0,1,1,1,0,3,0,0,0,0,0,0,3
TRIPURA,2005,By Over Alcoholism,0,0,0,0,1,1,0,0,0,0,0,0,1
TRIPURA,2005,By Drowning,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2005,By Fire/Self Immolation,0,1,0,2,0,3,0,15,12,3,2,32,35
TRIPURA,2005,By Fire-Arms,0,0,3,0,0,3,0,0,0,0,0,0,3
TRIPURA,2005,By Hanging,5,85,78,49,17,234,4,73,31,10,3,121,355
TRIPURA,2005,By Consuming Insecticides,0,1,0,1,0,2,0,0,0,0,0,0,2
TRIPURA,2005,By Consuming Other Poison,5,50,43,22,13,133,12,85,32,25,0,154,287
TRIPURA,2005,By Self Infliction of injury,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2005,By Jumping from (Building),0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2005,By Jumping from (Other sites),0,0,0,1,0,1,0,0,0,0,0,0,1
TRIPURA,2005,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2005,By Machine,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2005,By Overdose of sleeping pills,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2005,By touching electric wires,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2005,By coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2005,By Other means (please specify),0,12,3,8,1,24,0,1,3,0,3,7,31
TRIPURA,2005,Total,10,149,127,83,32,401,16,174,78,38,8,314,715
TRIPURA,2005,Total (Poison),5,51,43,23,13,135,12,85,32,25,0,154,289
TRIPURA,2005,Total (Jumping),0,0,0,1,0,1,0,0,0,0,0,0,1
TRIPURA,2006,By Over Alcoholism,0,2,4,0,0,6,0,0,0,0,0,0,6
TRIPURA,2006,By Drowning,3,6,5,2,0,16,3,2,0,1,1,7,23
TRIPURA,2006,By Fire/Self Immolation,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2006,By Fire-Arms,0,2,1,0,0,3,0,0,0,0,0,0,3
TRIPURA,2006,By Hanging,6,64,77,45,26,218,6,62,60,13,4,145,363
TRIPURA,2006,By Consuming Insecticides,1,4,2,1,0,8,2,2,0,0,0,4,12
TRIPURA,2006,By Consuming Other Poison,1,59,71,26,0,157,0,37,58,16,0,111,268
TRIPURA,2006,By Self Infliction of injury,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2006,By Jumping from (Building),0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2006,By Jumping from (Other sites),0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2006,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2006,By Machine,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2006,By Overdose of sleeping pills,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2006,By touching electric wires,0,1,0,0,0,1,0,0,0,0,0,0,1
TRIPURA,2006,By coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2006,By Other means (please specify),0,7,7,4,1,19,0,65,0,4,1,70,89
TRIPURA,2006,Total,11,145,167,78,27,428,11,168,118,34,6,337,765
TRIPURA,2006,Total (Poison),2,63,73,27,0,165,2,39,58,16,0,115,280
TRIPURA,2006,Total (Jumping),0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2007,By Over Alcoholism,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2007,By Drowning,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2007,By Fire/Self Immolation,0,0,5,0,0,5,3,18,15,5,0,41,46
TRIPURA,2007,By Fire-Arms,0,0,7,0,0,7,0,0,0,0,0,0,7
TRIPURA,2007,By Hanging,11,88,83,60,6,248,9,49,48,25,4,135,383
TRIPURA,2007,By Consuming Insecticides,4,9,6,10,1,30,2,4,5,2,0,13,43
TRIPURA,2007,By Consuming Other Poison,11,50,39,24,3,127,8,40,22,7,3,80,207
TRIPURA,2007,By Self Infliction of injury,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2007,By Jumping from (Building),0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2007,By Jumping from (Other sites),0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2007,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2007,By Machine,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2007,By Overdose of sleeping pills,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2007,By touching electric wires,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2007,By coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2007,By Other means (please specify),0,1,1,0,0,2,0,5,10,2,0,17,19
TRIPURA,2007,Total,26,148,141,94,10,419,22,116,100,41,7,286,705
TRIPURA,2007,Total (Poison),15,59,45,34,4,157,10,44,27,9,3,93,250
TRIPURA,2007,Total (Jumping),0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2008,By Over Alcoholism,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2008,By Drowning,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2008,By Fire/Self Immolation,0,6,7,8,2,23,0,17,12,3,1,33,56
TRIPURA,2008,By Fire-Arms,0,0,1,1,0,2,0,0,0,0,0,0,2
TRIPURA,2008,By Hanging,4,82,77,33,17,213,6,70,46,26,3,151,364
TRIPURA,2008,By Consuming Insecticides,5,43,39,24,3,114,2,32,18,8,1,61,175
TRIPURA,2008,By Consuming Other Poison,0,20,41,23,3,87,6,14,15,14,1,50,137
TRIPURA,2008,By Self Infliction of injury,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2008,By Jumping from (Building),0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2008,By Jumping from (Other sites),0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2008,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2008,By Machine,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2008,By Overdose of sleeping pills,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2008,By touching electric wires,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2008,By coming under running vehicles/trains,0,1,1,0,0,2,0,0,0,0,0,0,2
TRIPURA,2008,By Other means (please specify),0,0,1,0,0,1,0,10,5,0,0,15,16
TRIPURA,2008,Total,9,152,167,89,25,442,14,143,96,51,6,310,752
TRIPURA,2008,Total (Poison),5,63,80,47,6,201,8,46,33,22,2,111,312
TRIPURA,2008,Total (Jumping),0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2009,By Over Alcoholism,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2009,By Drowning,0,4,2,2,0,8,0,0,0,0,0,0,8
TRIPURA,2009,By Fire/Self Immolation,0,2,3,0,0,5,2,21,4,1,0,28,33
TRIPURA,2009,By Fire-Arms,0,1,1,1,0,3,0,0,0,0,0,0,3
TRIPURA,2009,By Hanging,6,110,84,51,15,266,5,60,24,17,7,113,379
TRIPURA,2009,By Consuming Insecticides,0,7,5,4,1,17,0,11,0,0,0,11,28
TRIPURA,2009,By Consuming Other Poison,3,62,57,36,5,163,3,62,33,13,2,113,276
TRIPURA,2009,By Self Infliction of injury,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2009,By Jumping from (Building),0,0,2,0,0,2,0,0,0,0,0,0,2
TRIPURA,2009,By Jumping from (Other sites),0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2009,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0,0,0,0
